track_id,target_name,estimate_name,metric,score
1,0,0,2,3.51189849145
1,1,0,2,3.33014921037
1,2,0,2,-4.15638810124
1,3,0,2,0.67635049311
1,4,0,2,-1.51478763388
2,0,0,2,5.05487658167
2,1,0,2,5.1421902377
2,2,0,2,1.26531717187
2,3,0,2,1.12146997535
2,4,0,2,1.01385632193
3,0,0,2,2.47040047778
3,1,0,2,-4.36996420319
3,2,0,2,1.31514411008
3,3,0,2,0.907426215965
3,4,0,2,1.39159753224
4,0,0,2,2.62302344447
4,1,0,2,3.03203186358
4,2,0,2,1.03477655343
4,3,0,2,-0.217659201549
4,4,0,2,2.57012482324
5,0,0,2,3.34554733837
5,1,0,2,0.161025854941
5,2,0,2,1.64371944353
5,3,0,2,1.85781019984
5,4,0,2,-1.44708273331
6,0,0,2,3.86934643621
6,1,0,2,-0.148714394017
6,2,0,2,5.22427011549
6,3,0,2,0.0947581071897
6,4,0,2,3.00025596143
7,0,0,2,3.89285919359
7,1,0,2,3.33093422465
7,2,0,2,1.75234159302
7,3,0,2,0.449476828535
7,4,0,2,3.77989822958
8,0,0,2,4.10678150864
8,1,0,2,-1.40164007762
8,2,0,2,3.24460641977
8,3,0,2,1.18772481611
8,4,0,2,1.23337114844
9,0,0,2,4.87985060058
9,1,0,2,0.41779876221
9,2,0,2,0.364048325638
9,3,0,2,1.38264310769
9,4,0,2,2.30715026831
10,0,0,2,2.53303311467
10,1,0,2,-7.43045561677
10,2,0,2,-0.827943559437
10,3,0,2,1.64588087254
10,4,0,2,1.52416237026
11,0,0,2,3.21489463853
11,1,0,2,-3.44475649493
11,2,0,2,3.13308836924
11,3,0,2,1.5815966348
11,4,0,2,0.661466090831
12,0,0,2,3.52945182886
12,1,0,2,-2.12071714672
12,2,0,2,2.80536463047
12,3,0,2,-1.51902836852
12,4,0,2,1.86120468252
13,0,0,2,2.5300237113
13,1,0,2,1.67212606746
13,2,0,2,-2.88969697589
13,3,0,2,0.837503201845
13,4,0,2,1.99067126324
14,0,0,2,3.831444337
14,1,0,2,-1.02970930811
14,2,0,2,3.12918743755
14,3,0,2,-1.85716843597
14,4,0,2,1.31553706357
15,0,0,2,4.10047157213
15,1,0,2,-3.33434421752
15,2,0,2,2.58780486654
15,3,0,2,1.45641396711
15,4,0,2,2.04698243099
16,0,0,2,3.64861845998
16,1,0,2,-1.23234672094
16,2,0,2,4.8414251695
16,3,0,2,0.858425406558
16,4,0,2,1.20496387499
17,0,0,2,4.24865207303
17,1,0,2,0.940109509841
17,2,0,2,2.63401269569
17,3,0,2,1.63148960614
17,4,0,2,-1.82487359815
18,0,0,2,4.24600137188
18,1,0,2,-4.15910403555
18,2,0,2,-0.183304043432
18,3,0,2,0.976383090737
